0.47893,3
0.479488,16
0.480043,31
0.480596,54
0.481145,47
0.481692,84
0.482237,71
0.482778,60
0.483317,71
0.483853,106
0.484387,134
0.484918,204
0.485446,236
0.485971,262
0.486494,248
0.487014,266
0.487531,228
0.488046,255
0.488557,306
0.489066,358
0.489572,371
0.490076,370
0.490577,366
0.491074,354
0.49157,328
0.492062,333
0.492551,361
0.493038,433
0.493522,508
0.494003,503
0.494482,623
0.494957,680
0.49543,676
0.4959,714
0.496367,802
0.496831,767
0.497292,694
0.497751,721
0.498206,731
0.498659,752
0.499109,717
0.499556,679
0.5,611
0.500441,578
0.50088,621
0.501315,672
0.501748,726
0.502177,739
0.502604,742
0.503028,728
0.503449,676
0.503867,709
0.504282,695
0.504694,626
0.505103,593
0.505509,539
0.505912,405
0.506312,378
0.50671,354
0.507104,311
0.507495,298
0.507884,283
0.508269,266
0.508651,279
0.509031,235
0.509407,311
0.50978,328
0.51015,225
0.510517,201
0.510882,246
0.511243,225
0.511601,278
0.511956,191
0.512308,175
0.512656,173
0.513002,159
0.513345,134
0.513684,137
0.514021,105
0.514354,85
0.514684,68
0.515011,86
0.515335,114
0.515656,82
0.515974,40
0.516288,41
0.5166,50
0.516908,22
0.517213,23
0.517515,15
0.517814,8
0.518109,17
0.518401,9
0.51869,11
0.518976,8
0.519259,3
0.519538,2
0.519815,2
